@name	CNS 11643
@alias	CNS 11643-1986
@filename-kte	cns-11643.kte
@filename-txt	OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@verify-against	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-author	Unicode, Inc.
@cite-title	CNS 11643-1986 to Unicode table (complete)
@cite-publisher	Unicode, Inc.
@cite-date	21 Oct 1994
@cite-url	http://www.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/OTHER/CNS11643.TXT
@cite-copyright	1991-1994 Unicode, Inc.
0x01486B	0x4E32
0x01486C	0x4EA8
0x01486D	0x4F4D
0x01486E	0x4F4F
0x01486F	0x4F47
0x014870	0x4F57
0x014871	0x4F5E
0x014872	0x4F34
0x014873	0x4F5B
0x014874	0x4F55
0x014875	0x4F30
0x014876	0x4F50
0x014877	0x4F51
0x014878	0x4F3D
0x014879	0x4F3A
0x01487A	0x4F38
0x01487B	0x4F43
0x01487C	0x4F54
0x01487D	0x4F3C
0x01487E	0x4F46
0x014921	0x4F63
0x014922	0x4F5C
0x014923	0x4F60
0x014924	0x4F2F
0x014925	0x4F4E
0x014926	0x4F36
0x014927	0x4F59
0x014928	0x4F5D
0x014929	0x4F48
0x01492A	0x4F5A
0x01492B	0x514C
0x01492C	0x514B
0x01492D	0x514D
0x01492E	0x5175
0x01492F	0x51B6
0x014930	0x51B7
0x014931	0x5225
0x014932	0x5224
0x014933	0x5229
0x014934	0x522A
0x014935	0x5228
0x014936	0x52AB
0x014937	0x52A9
0x014938	0x52AA
0x014939	0x52AC
0x01493A	0x5323
0x01493B	0x5373
0x01493C	0x5375
0x01493D	0x541D
0x01493E	0x542D
0x01493F	0x541E
0x014940	0x543E
0x014941	0x5426
0x014942	0x544E
0x014943	0x5427
0x014944	0x5446
0x014945	0x5443
0x014946	0x5433
0x014947	0x5448
0x014948	0x5442
0x014949	0x541B
0x01494A	0x5429
0x01494B	0x544A
0x01494C	0x5439
0x01494D	0x543B
0x01494E	0x5438
0x01494F	0x542E
0x014950	0x5435
0x014951	0x5436
0x014952	0x5420
0x014953	0x543C
0x014954	0x5440
0x014955	0x5431
0x014956	0x542B
0x014957	0x541F
0x014958	0x542C
0x014959	0x56EA
0x01495A	0x56F0
0x01495B	0x56E4
0x01495C	0x56EB
0x01495D	0x574A
0x01495E	0x5751
0x01495F	0x5740
0x014960	0x574D
0x014961	0x5747
0x014962	0x574E
0x014963	0x573E
0x014964	0x5750
0x014965	0x574F
0x014966	0x573B
0x014967	0x58EF
0x014968	0x593E
0x014969	0x599D
0x01496A	0x5992
0x01496B	0x59A8
0x01496C	0x599E
0x01496D	0x59A3
0x01496E	0x5999
0x01496F	0x5996
0x014970	0x598D
0x014971	0x59A4
0x014972	0x5993
0x014973	0x598A
0x014974	0x59A5
0x014975	0x5B5D
0x014976	0x5B5C
0x014977	0x5B5A
0x014978	0x5B5B
0x014979	0x5B8C
0x01497A	0x5B8B
0x01497B	0x5B8F
0x01497C	0x5C2C
0x01497D	0x5C40
0x01497E	0x5C41
0x014A21	0x5C3F
0x014A22	0x5C3E
0x014A23	0x5C90
0x014A24	0x5C91
0x014A25	0x5C94
0x014A26	0x5C8C
0x014A27	0x5DEB
0x014A28	0x5E0C
0x014A29	0x5E8F
0x014A2A	0x5E87
0x014A2B	0x5E8A
0x014A2C	0x5EF7
0x014A2D	0x5F04
0x014A2E	0x5F1F
0x014A2F	0x5F64
0x014A30	0x5F62
0x014A31	0x5F77
0x014A32	0x5F79
0x014A33	0x5FD8
0x014A34	0x5FCC
0x014A35	0x5FD7
0x014A36	0x5FCD
0x014A37	0x5FF1
0x014A38	0x5FEB
0x014A39	0x5FF8
0x014A3A	0x5FEA
0x014A3B	0x6212
0x014A3C	0x6211
0x014A3D	0x6284
0x014A3E	0x6297
0x014A3F	0x6296
0x014A40	0x6280
0x014A41	0x6276
0x014A42	0x6289
0x014A43	0x626D
0x014A44	0x628A
0x014A45	0x627C
0x014A46	0x627E
0x014A47	0x6279
0x014A48	0x6273
0x014A49	0x6292
0x014A4A	0x626F
0x014A4B	0x6298
0x014A4C	0x626E
0x014A4D	0x6295
0x014A4E	0x6293
0x014A4F	0x6291
0x014A50	0x6286
0x014A51	0x6539
0x014A52	0x653B
0x014A53	0x6538
0x014A54	0x65F1
0x014A55	0x66F4
0x014A56	0x675F
0x014A57	0x674E
0x014A58	0x674F
0x014A59	0x6750
